round,stadium,home_team,home_score,away_score,away_team,year,pontos
6,Barradão,Vitória,2.0,0.0,Atlético-MG,2017,0
7,Independência,Atlético-MG,0.0,1.0,Athletico-PR,2017,0
8,Morumbi,São Paulo,1.0,2.0,Atlético-MG,2017,3
9,Independência,Atlético-MG,2.0,2.0,Sport,2017,1
10,Arena Condá,Chapecoense,0.0,1.0,Atlético-MG,2017,3
11,Independência,Atlético-MG,3.0,1.0,Cruzeiro,2017,3
12,Nilton Santos (Engenhão),Botafogo,1.0,1.0,Atlético-MG,2017,1
13,Independência,Atlético-MG,0.0,1.0,Santos,2017,0
14,Olímpico (GO),Atlético-GO,1.0,2.0,Atlético-MG,2017,3
15,Independência,Atlético-MG,0.0,2.0,Bahia,2017,0
16,Independência,Atlético-MG,1.0,2.0,Vasco,2017,0
17,Couto Pereira,Coritiba,0.0,2.0,Atlético-MG,2017,3
18,Mineirão,Atlético-MG,0.0,2.0,Corinthians,2017,0
19,Arena do Grêmio,Grêmio,2.0,0.0,Atlético-MG,2017,0
20,Independência,Atlético-MG,2.0,0.0,Flamengo,2017,3
21,Maracanã,Fluminense,2.0,1.0,Atlético-MG,2017,0
22,Moisés Lucarelli,Ponte Preta,1.0,2.0,Atlético-MG,2017,3
23,Independência,Atlético-MG,1.0,1.0,Palmeiras,2017,1
24,Ressacada,Avaí,1.0,1.0,Atlético-MG,2017,1
25,Independência,Atlético-MG,1.0,3.0,Vitória,2017,0
26,Ligga Arena,Athletico-PR,0.0,2.0,Atlético-MG,2017,3
27,Independência,Atlético-MG,1.0,0.0,São Paulo,2017,3
28,Ilha do Retiro,Sport,1.0,1.0,Atlético-MG,2017,1
29,Independência,Atlético-MG,2.0,3.0,Chapecoense,2017,0
30,Mineirão,Cruzeiro,1.0,3.0,Atlético-MG,2017,3
31,Independência,Atlético-MG,0.0,0.0,Botafogo,2017,1
32,Vila Belmiro,Santos,3.0,1.0,Atlético-MG,2017,0
33,Independência,Atlético-MG,3.0,2.0,Atlético-GO,2017,3
34,Itaipava Arena Fonte Nova,Bahia,2.0,2.0,Atlético-MG,2017,1
35,São Januário,Vasco,1.0,1.0,Atlético-MG,2017,1
36,Independência,Atlético-MG,3.0,0.0,Coritiba,2017,3
37,Neo Química Arena,Corinthians,2.0,2.0,Atlético-MG,2017,1
38,Independência,Atlético-MG,4.0,3.0,Grêmio,2017,3
1,São Januário,Vasco,2.0,1.0,Atlético-MG,2018,0
2,Independência,Atlético-MG,2.0,1.0,Vitória,2018,3
3,Independência,Atlético-MG,1.0,0.0,Corinthians,2018,3
4,Morumbi,São Paulo,2.0,2.0,Atlético-MG,2018,1
5,Ligga Arena,Athletico-PR,1.0,2.0,Atlético-MG,2018,3
6,Independência,Atlético-MG,1.0,0.0,Cruzeiro,2018,3
7,Independência,Atlético-MG,0.0,1.0,Flamengo,2018,0
8,Ilha do Retiro,Sport,3.0,2.0,Atlético-MG,2018,0
9,Independência,Atlético-MG,3.0,3.0,Chapecoense,2018,1
10,Independência,América-MG,1.0,3.0,Atlético-MG,2018,3
11,Independência,Atlético-MG,5.0,2.0,Fluminense,2018,3
12,Independência,Atlético-MG,2.0,1.0,Ceará,2018,3
13,Arena do Grêmio,Grêmio,2.0,0.0,Atlético-MG,2018,0
14,Allianz Parque,Palmeiras,3.0,2.0,Atlético-MG,2018,0
15,Independência,Atlético-MG,2.0,0.0,Paraná,2018,3
16,Itaipava Arena Fonte Nova,Bahia,2.0,2.0,Atlético-MG,2018,1
17,Independência,Atlético-MG,0.0,1.0,Internacional,2018,0
18,Independência,Atlético-MG,3.0,1.0,Santos,2018,3
19,Nilton Santos (Engenhão),Botafogo,0.0,3.0,Atlético-MG,2018,3
20,Independência,Atlético-MG,0.0,0.0,Vasco,2018,1
21,Barradão,Vitória,1.0,0.0,Atlético-MG,2018,0
22,Neo Química Arena,Corinthians,1.0,1.0,Atlético-MG,2018,1
23,Independência,Atlético-MG,1.0,0.0,São Paulo,2018,3
24,Independência,Atlético-MG,3.0,1.0,Athletico-PR,2018,3
25,Mineirão,Cruzeiro,0.0,0.0,Atlético-MG,2018,1
26,Maracanã,Flamengo,2.0,1.0,Atlético-MG,2018,0
27,Independência,Atlético-MG,5.0,2.0,Sport,2018,3
28,Arena Condá,Chapecoense,1.0,0.0,Atlético-MG,2018,0
29,Independência,Atlético-MG,0.0,0.0,América-MG,2018,1
30,Nilton Santos (Engenhão),Fluminense,1.0,0.0,Atlético-MG,2018,0
31,Castelão (CE),Ceará,2.0,1.0,Atlético-MG,2018,0
32,Independência,Atlético-MG,0.0,1.0,Grêmio,2018,0
33,Independência,Atlético-MG,1.0,1.0,Palmeiras,2018,1
34,Durival Britto,Paraná,0.0,1.0,Atlético-MG,2018,3
35,Independência,Atlético-MG,1.0,0.0,Bahia,2018,3
36,Beira-Rio,Internacional,1.0,2.0,Atlético-MG,2018,3
37,Vila Belmiro,Santos,3.0,2.0,Atlético-MG,2018,0
38,Independência,Atlético-MG,1.0,0.0,Botafogo,2018,3
1,Independência,Atlético-MG,2.0,1.0,Avaí,2019,3
2,São Januário,Vasco,1.0,2.0,Atlético-MG,2019,3
3,Castelão (CE),Ceará,1.0,2.0,Atlético-MG,2019,3
4,Mineirão,Atlético-MG,0.0,2.0,Palmeiras,2019,0
5,Independência,Atlético-MG,2.0,1.0,Flamengo,2019,3
6,Arena do Grêmio,Grêmio,1.0,0.0,Atlético-MG,2019,0
7,Independência,Atlético-MG,4.0,0.0,CSA,2019,3
8,Vila Belmiro,Santos,3.0,1.0,Atlético-MG,2019,0
9,Independência,Atlético-MG,1.0,1.0,São Paulo,2019,1
10,Arena Condá,Chapecoense,1.0,2.0,Atlético-MG,2019,3
11,Independência,Atlético-MG,2.0,2.0,Fortaleza,2019,1
12,Serra Dourada,Goiás,0.0,0.0,Atlético-MG,2019,1
13,Independência,Atlético-MG,2.0,0.0,Cruzeiro,2019,3
14,Independência,Atlético-MG,2.0,1.0,Fluminense,2019,3
15,Ligga Arena,Athletico-PR,1.0,0.0,Atlético-MG,2019,0
16,Independência,Atlético-MG,0.0,1.0,Bahia,2019,0
17,Neo Química Arena,Corinthians,1.0,0.0,Atlético-MG,2019,0
18,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Atlético-MG,2019,0
19,Independência,Atlético-MG,1.0,3.0,Internacional,2019,0
20,Ressacada,Avaí,1.0,0.0,Atlético-MG,2019,0
21,Independência,Atlético-MG,1.0,2.0,Vasco,2019,0
22,Independência,Atlético-MG,2.0,1.0,Ceará,2019,3
23,Allianz Parque,Palmeiras,1.0,1.0,Atlético-MG,2019,1
24,Maracanã,Flamengo,3.0,1.0,Atlético-MG,2019,0
25,Independência,Atlético-MG,1.0,4.0,Grêmio,2019,0
26,Rei Pelé,CSA,2.0,2.0,Atlético-MG,2019,1
27,Independência,Atlético-MG,2.0,0.0,Santos,2019,3
28,Morumbi,São Paulo,2.0,0.0,Atlético-MG,2019,0
29,Independência,Atlético-MG,0.0,2.0,Chapecoense,2019,0
30,Castelão (CE),Fortaleza,2.0,2.0,Atlético-MG,2019,1
31,Mineirão,Atlético-MG,2.0,0.0,Goiás,2019,3
32,Mineirão,Cruzeiro,0.0,0.0,Atlético-MG,2019,1
33,Maracanã,Fluminense,1.0,1.0,Atlético-MG,2019,1
34,Mineirão,Atlético-MG,0.0,1.0,Athletico-PR,2019,0
35,Itaipava Arena Fonte Nova,Bahia,1.0,1.0,Atlético-MG,2019,1
36,Independência,Atlético-MG,2.0,1.0,Corinthians,2019,3
37,Mineirão,Atlético-MG,2.0,0.0,Botafogo,2019,3
38,Beira-Rio,Internacional,2.0,1.0,Atlético-MG,2019,0
1,Maracanã,Flamengo,0.0,1.0,Atlético-MG,2020,3
2,Mineirão,Atlético-MG,3.0,2.0,Corinthians,2020,3
3,Mineirão,Atlético-MG,2.0,0.0,Ceará,2020,3
4,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Atlético-MG,2020,0
5,Beira-Rio,Internacional,1.0,0.0,Atlético-MG,2020,0
6,Mineirão,Atlético-MG,0.0,2.0,Athletico-PR,2020,0
7,Mineirão,Atlético-MG,3.0,0.0,São Paulo,2020,3
8,Couto Pereira,Coritiba,0.0,1.0,Atlético-MG,2020,3
9,Vila Belmiro,Santos,3.0,1.0,Atlético-MG,2020,0
10,Mineirão,Atlético-MG,2.0,1.0,RB Bragantino,2020,3
11,Olímpico (GO),Atlético-GO,3.0,4.0,Atlético-MG,2020,3
12,Mineirão,Atlético-MG,3.0,1.0,Grêmio,2020,3
13,Mineirão,Atlético-MG,4.0,1.0,Vasco,2020,3
14,Castelão (CE),Fortaleza,2.0,1.0,Atlético-MG,2020,0
15,Mineirão,Atlético-MG,3.0,0.0,Goiás,2020,3
16,Mineirão,Atlético-MG,1.0,1.0,Fluminense,2020,1
17,Pituaçu,Bahia,3.0,1.0,Atlético-MG,2020,0
18,Mineirão,Atlético-MG,0.0,0.0,Sport,2020,1
19,Allianz Parque,Palmeiras,3.0,0.0,Atlético-MG,2020,0
20,Mineirão,Atlético-MG,4.0,0.0,Flamengo,2020,3
21,Neo Química Arena,Corinthians,1.0,2.0,Atlético-MG,2020,3
22,Castelão (CE),Ceará,2.0,2.0,Atlético-MG,2020,1
23,Mineirão,Atlético-MG,2.0,1.0,Botafogo,2020,3
24,Mineirão,Atlético-MG,2.0,2.0,Internacional,2020,1
25,Ligga Arena,Athletico-PR,0.0,1.0,Atlético-MG,2020,3
26,Morumbi,São Paulo,3.0,0.0,Atlético-MG,2020,0
27,Mineirão,Atlético-MG,2.0,0.0,Coritiba,2020,3
28,Mineirão,Atlético-MG,2.0,0.0,Santos,2020,3
29,Nabi Abi Chedid,RB Bragantino,2.0,2.0,Atlético-MG,2020,1
30,Mineirão,Atlético-MG,3.0,1.0,Atlético-GO,2020,3
31,Arena do Grêmio,Grêmio,1.0,1.0,Atlético-MG,2020,1
32,São Januário,Vasco,3.0,2.0,Atlético-MG,2020,0
33,Mineirão,Atlético-MG,2.0,0.0,Fortaleza,2020,3
34,Hailé Pinheiro (Serrinha),Goiás,1.0,0.0,Atlético-MG,2020,0
35,Maracanã,Fluminense,0.0,0.0,Atlético-MG,2020,1
36,Mineirão,Atlético-MG,1.0,1.0,Bahia,2020,1
37,Ilha do Retiro,Sport,2.0,3.0,Atlético-MG,2020,3
38,Mineirão,Atlético-MG,2.0,0.0,Palmeiras,2020,3
1,Mineirão,Atlético-MG,1.0,2.0,Fortaleza,2021,0
2,Ilha do Retiro,Sport,0.0,1.0,Atlético-MG,2021,3
3,Mineirão,Atlético-MG,1.0,0.0,São Paulo,2021,3
4,Beira-Rio,Internacional,0.0,1.0,Atlético-MG,2021,3
5,Mineirão,Atlético-MG,1.0,1.0,Chapecoense,2021,1
6,Castelão (CE),Ceará,2.0,1.0,Atlético-MG,2021,0
7,Vila Belmiro,Santos,2.0,0.0,Atlético-MG,2021,0
8,Mineirão,Atlético-MG,4.0,1.0,Atlético-GO,2021,3
9,Arena Pantanal,Cuiabá,0.0,1.0,Atlético-MG,2021,3
10,Mineirão,Atlético-MG,2.0,1.0,Flamengo,2021,3
11,Independência,América-MG,0.0,1.0,Atlético-MG,2021,3
12,Neo Química Arena,Corinthians,1.0,2.0,Atlético-MG,2021,3
13,Mineirão,Atlético-MG,3.0,0.0,Bahia,2021,3
14,Mineirão,Atlético-MG,2.0,0.0,Athletico-PR,2021,3
15,Alfredo Jaconi,Juventude,1.0,2.0,Atlético-MG,2021,3
16,Mineirão,Atlético-MG,2.0,0.0,Palmeiras,2021,3
17,São Januário,Fluminense,1.0,1.0,Atlético-MG,2021,1
18,Nabi Abi Chedid,RB Bragantino,1.0,1.0,Atlético-MG,2021,1
19,Mineirão,Atlético-MG,2.0,1.0,Grêmio,2021,3
20,Castelão (CE),Fortaleza,0.0,2.0,Atlético-MG,2021,3
21,Mineirão,Atlético-MG,3.0,0.0,Sport,2021,3
22,Morumbi,São Paulo,0.0,0.0,Atlético-MG,2021,1
23,Mineirão,Atlético-MG,1.0,0.0,Internacional,2021,3
24,Arena Condá,Chapecoense,2.0,2.0,Atlético-MG,2021,1
25,Mineirão,Atlético-MG,3.0,1.0,Ceará,2021,3
26,Mineirão,Atlético-MG,3.0,1.0,Santos,2021,3
27,Antônio Accioly,Atlético-GO,2.0,1.0,Atlético-MG,2021,0
28,Mineirão,Atlético-MG,2.0,1.0,Cuiabá,2021,3
29,Maracanã,Flamengo,1.0,0.0,Atlético-MG,2021,0
30,Mineirão,Atlético-MG,1.0,0.0,América-MG,2021,3
31,Mineirão,Atlético-MG,3.0,0.0,Corinthians,2021,3
32,Itaipava Arena Fonte Nova,Bahia,2.0,3.0,Atlético-MG,2021,3
33,Ligga Arena,Athletico-PR,0.0,1.0,Atlético-MG,2021,3
34,Mineirão,Atlético-MG,2.0,0.0,Juventude,2021,3
35,Allianz Parque,Palmeiras,2.0,2.0,Atlético-MG,2021,1
36,Mineirão,Atlético-MG,2.0,1.0,Fluminense,2021,3
37,Mineirão,Atlético-MG,4.0,3.0,RB Bragantino,2021,3
38,Arena do Grêmio,Grêmio,4.0,3.0,Atlético-MG,2021,0
1,Mineirão,Atlético-MG,2.0,0.0,Internacional,2022,3
2,Ligga Arena,Athletico-PR,0.0,1.0,Atlético-MG,2022,3
3,Independência,Atlético-MG,2.0,2.0,Coritiba,2022,1
4,Hailé Pinheiro (Serrinha),Goiás,2.0,2.0,Atlético-MG,2022,1
5,Independência,Atlético-MG,1.0,2.0,América-MG,2022,0
6,Independência,Atlético-MG,2.0,0.0,Atlético-GO,2022,3
7,Nabi Abi Chedid,RB Bragantino,1.0,1.0,Atlético-MG,2022,1
8,Mineirão,Atlético-MG,2.0,1.0,Avaí,2022,3
9,Allianz Parque,Palmeiras,0.0,0.0,Atlético-MG,2022,1
10,Maracanã,Fluminense,5.0,3.0,Atlético-MG,2022,0
11,Mineirão,Atlético-MG,1.0,1.0,Santos,2022,1
12,Castelão (CE),Ceará,0.0,0.0,Atlético-MG,2022,1
13,Mineirão,Atlético-MG,2.0,0.0,Flamengo,2022,3
14,Mineirão,Atlético-MG,3.0,2.0,Fortaleza,2022,3
15,Alfredo Jaconi,Juventude,1.0,2.0,Atlético-MG,2022,3
16,Mineirão,Atlético-MG,0.0,0.0,São Paulo,2022,1
17,Nilton Santos (Engenhão),Botafogo,0.0,1.0,Atlético-MG,2022,3
18,Arena Pantanal,Cuiabá,1.0,1.0,Atlético-MG,2022,1
19,Mineirão,Atlético-MG,1.0,2.0,Corinthians,2022,0
20,Beira-Rio,Internacional,3.0,0.0,Atlético-MG,2022,0
21,Mineirão,Atlético-MG,2.0,3.0,Athletico-PR,2022,0
22,Couto Pereira,Coritiba,0.0,1.0,Atlético-MG,2022,3
23,Mineirão,Atlético-MG,0.0,1.0,Goiás,2022,0
24,Independência,América-MG,1.0,1.0,Atlético-MG,2022,1
25,Antônio Accioly,Atlético-GO,0.0,2.0,Atlético-MG,2022,3
26,Mineirão,Atlético-MG,1.0,1.0,RB Bragantino,2022,1
27,Ressacada,Avaí,1.0,0.0,Atlético-MG,2022,0
28,Mineirão,Atlético-MG,0.0,1.0,Palmeiras,2022,0
29,Mineirão,Atlético-MG,2.0,0.0,Fluminense,2022,3
30,Vila Belmiro,Santos,1.0,2.0,Atlético-MG,2022,3
31,Mineirão,Atlético-MG,0.0,0.0,Ceará,2022,1
32,Maracanã,Flamengo,1.0,0.0,Atlético-MG,2022,0
33,Castelão (CE),Fortaleza,0.0,0.0,Atlético-MG,2022,1
34,Mineirão,Atlético-MG,1.0,0.0,Juventude,2022,3
35,Morumbi,São Paulo,2.0,2.0,Atlético-MG,2022,1
36,Mineirão,Atlético-MG,0.0,2.0,Botafogo,2022,0
37,Mineirão,Atlético-MG,3.0,0.0,Cuiabá,2022,3
38,Neo Química Arena,Corinthians,0.0,1.0,Atlético-MG,2022,3
1,Mineirão,Atlético-MG,1.0,2.0,Vasco,2023,0
2,Vila Belmiro,Santos,0.0,0.0,Atlético-MG,2023,1
3,Independência,Atlético-MG,2.0,1.0,Athletico-PR,2023,3
4,Nilton Santos (Engenhão),Botafogo,2.0,0.0,Atlético-MG,2023,0
5,Arena Pantanal,Cuiabá,0.0,4.0,Atlético-MG,2023,3
6,Mineirão,Atlético-MG,2.0,0.0,Internacional,2023,3
7,Couto Pereira,Coritiba,1.0,2.0,Atlético-MG,2023,3
8,Mineirão,Atlético-MG,1.0,1.0,Palmeiras,2023,1
9,Parque do Sabiá,Cruzeiro,0.0,1.0,Atlético-MG,2023,3
10,Mineirão,Atlético-MG,1.0,1.0,RB Bragantino,2023,1
11,Raulino de Oliveira,Fluminense,1.0,1.0,Atlético-MG,2023,1
12,Castelão (CE),Fortaleza,2.0,1.0,Atlético-MG,2023,0
13,Mineirão,Atlético-MG,2.0,2.0,América-MG,2023,1
14,Mineirão,Atlético-MG,0.0,1.0,Corinthians,2023,0
15,Hailé Pinheiro (Serrinha),Goiás,0.0,0.0,Atlético-MG,2023,1
16,Arena do Grêmio,Grêmio,1.0,0.0,Atlético-MG,2023,0
17,Independência,Atlético-MG,1.0,2.0,Flamengo,2023,0
18,Morumbi,São Paulo,0.0,2.0,Atlético-MG,2023,3
19,Mineirão,Atlético-MG,1.0,0.0,Bahia,2023,3
20,Maracanã,Vasco,1.0,0.0,Atlético-MG,2023,0
21,Arena MRV,Atlético-MG,2.0,0.0,Santos,2023,3
22,Ligga Arena,Athletico-PR,1.0,1.0,Atlético-MG,2023,1
23,Arena MRV,Atlético-MG,1.0,0.0,Botafogo,2023,3
24,Arena MRV,Atlético-MG,1.0,0.0,Cuiabá,2023,3
25,Beira-Rio,Internacional,0.0,2.0,Atlético-MG,2023,3
26,Arena MRV,Atlético-MG,1.0,2.0,Coritiba,2023,0
27,Allianz Parque,Palmeiras,0.0,2.0,Atlético-MG,2023,3
28,Arena MRV,Atlético-MG,0.0,1.0,Cruzeiro,2023,0
29,Nabi Abi Chedid,RB Bragantino,1.0,2.0,Atlético-MG,2023,3
30,Arena MRV,Atlético-MG,2.0,0.0,Fluminense,2023,3
31,Arena MRV,Atlético-MG,3.0,1.0,Fortaleza,2023,3
32,Parque do Sabiá,América-MG,1.0,1.0,Atlético-MG,2023,1
33,Neo Química Arena,Corinthians,1.0,1.0,Atlético-MG,2023,1
34,Arena MRV,Atlético-MG,2.0,1.0,Goiás,2023,3
35,Arena MRV,Atlético-MG,3.0,0.0,Grêmio,2023,3
36,Maracanã,Flamengo,0.0,3.0,Atlético-MG,2023,3
37,Mineirão,Atlético-MG,2.0,1.0,São Paulo,2023,3
38,Itaipava Arena Fonte Nova,Bahia,4.0,1.0,Atlético-MG,2023,0
